label,channel,band,mean_power,log10_mean_power,n_trials
left,C3,mu_8_13Hz,3.71208672119171,0.5696181135853716,5983
left,C4,mu_8_13Hz,8.235692322884246,0.9157001134475056,5983
left,C3,beta_13_30Hz,6.778836155640189,0.8311551371457195,5983
left,C4,beta_13_30Hz,13.079442435390915,1.1165892308082628,5983
left,C3,mu_beta_8_30Hz,10.8106006865293,1.0338498260159554,5983
left,C4,mu_beta_8_30Hz,21.616446047862855,1.3347842932863407,5983
right,C3,mu_8_13Hz,4.047181348650658,0.607152664968221,6005
right,C4,mu_8_13Hz,40.455474135942815,1.6069772954459591,6005
right,C3,beta_13_30Hz,6.72613054062602,0.8277652918402569,6005
right,C4,beta_13_30Hz,26.05009009421962,1.4158092296453233,6005
right,C3,mu_beta_8_30Hz,10.946760616965362,1.0392856210652441,6005
right,C4,mu_beta_8_30Hz,62.26145409639323,1.7942192592739838,6005
