label,channel,band,baseline_power,mean_relative_percent,min_relative_percent,max_relative_percent,mean_relative_db,min_relative_db,max_relative_db,n_trials
left,C3,mu_beta_8_30Hz,1.8468162549238067,-5.674677226624166,-99.33773196063281,88.46628861087092,-0.3081136338238235,-21.789662032218548,2.7523367825744662,4044
left,C4,mu_beta_8_30Hz,1.451461755218767,-4.773872678877907,-99.38511670579476,79.9001800800776,-0.27762414754496006,-22.112073061634185,2.5503159807453892,4044
right,C3,mu_beta_8_30Hz,1.7468015260712328,1.7243025352605592,-99.34817164254815,120.9243873249466,0.016914159992893852,-21.858667497055407,3.442436592668983,4012
right,C4,mu_beta_8_30Hz,1.5235871200484943,-4.61908321752038,-99.44133910921322,100.16524663590988,-0.27911060267445376,-22.52851730483392,3.0138867601821646,4012
