subject,fbcsp_bacc,ea_fbcsp_bacc,delta_bacc
sub-001,0.5240036231884058,0.5602355072463768,0.036231884057971064
sub-002,0.5108695652173914,0.5800798580301686,0.06921029281277724
sub-003,0.5,0.5,0.0
sub-004,0.62,0.5599999999999999,-0.06000000000000005
sub-005,0.5156723963599595,0.37917087967644086,-0.13650151668351868
sub-006,0.5403726708074534,0.5960514640638864,0.05567879325643299
sub-007,0.48,0.5,0.020000000000000018
sub-008,0.53,0.49,-0.040000000000000036
sub-009,0.49489795918367346,0.41612244897959183,-0.07877551020408163
sub-010,0.5102040816326531,0.5588860544217688,0.04868197278911568
sub-011,0.5,0.5700000000000001,0.07000000000000006
sub-012,0.43528368794326244,0.46601654846335694,0.030732860520094496
sub-013,0.5,0.64,0.14
sub-014,0.52,0.49,-0.030000000000000027
sub-015,0.5,0.49041666666666667,-0.009583333333333333
sub-016,0.4792069632495164,0.49782398452611215,0.018617021276595758
sub-017,0.4570035460992908,0.5168439716312057,0.059840425531914876
sub-018,0.52,0.62,0.09999999999999998
sub-019,0.4659090909090909,0.5572820037105751,0.09137291280148424
sub-020,0.49,0.5,0.010000000000000009
sub-021,0.5319148936170213,0.5642640034737298,0.03234910985670858
sub-022,0.4652777777777778,0.5111111111111111,0.04583333333333328
sub-023,0.5023384353741497,0.5423044217687075,0.03996598639455784
sub-024,0.5,0.48,-0.020000000000000018
sub-025,0.56,0.53,-0.030000000000000027
