family,method,protocol,n_rows,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
baseline,CSP-LDA,cross_session_train_1-4_test_5,25,0.5302956645922554,0.06524856725967612,0.5315010599862574,0.06459893998984836
baseline,FBCSP-LDA,cross_session_train_1-4_test_5,25,0.5061181876543859,0.03641505212644662,0.5075298898620325,0.0358124594448577
stable_fbcsp_v2,Stable-FBCSP-V2,cross_session_train_1-4_test_5,25,0.5180709541390424,0.06125404115536673,0.5206528718653611,0.06202382694853997
alignment,EA+CSP-LDA,cross_session_train_1-4_test_5,25,0.5570565246197583,0.10963533849940292,0.5564991893375716,0.10982175753424482
alignment,EA+FBCSP-LDA,cross_session_train_1-4_test_5,25,0.524664356950788,0.05916811821012077,0.5250749329880202,0.0611138726494263
deep_learning,EEGNet-compressed 3 seeds,cross_session_train_1-4_test_5,75,0.5685061497635379,0.10910381467550263,0.5678593587103324,0.10905722614342242
alignment_deep_learning,EA+EEGNet-compressed 3 seeds,cross_session_train_1-4_test_5,75,0.5781675929935359,0.10364087165458742,0.577556589652125,0.10374576720720977
