method,protocol,seed,n_subjects,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std,epochs_ran_mean,epochs_ran_std,train_seconds_mean,train_seconds_std
EEGNet-compressed,cross_session_train_1-4_test_5,42,25,0.5711124106713175,0.11819895917649519,0.5720658403138391,0.11821876449874079,0.561090800316125,0.1264273762640611,0.14380506122426695,0.23610524503016705,22.08,9.915980368408697,1.5469999027252197,0.6621449804357397
EEGNet-compressed,cross_session_train_1-4_test_5,2024,25,0.5626942617042968,0.09765961455518532,0.563804432569011,0.09750553231818188,0.5547754595903867,0.09945075066972882,0.12743250403965328,0.19348491578095886,22.72,10.093397181656266,1.5984895610809327,0.6853895307767129
EEGNet-compressed,cross_session_train_1-4_test_5,3407,25,0.5697714037553832,0.11454494020760259,0.5696481764077634,0.11481422839903783,0.5514054177096993,0.12724887671443016,0.13912357140446177,0.22942078292433793,23.24,9.631891472256804,1.633433599472046,0.6692417917577635
