label,channel,band,mean_power,log10_mean_power,n_trials
left,C3,mu_8_13Hz,1.3394478810207864,0.12692581953031068,5758
left,C4,mu_8_13Hz,0.8686882195442107,-0.06113606800196011,5758
left,C3,beta_13_30Hz,1.477917170996796,0.16965009496067832,5758
left,C4,beta_13_30Hz,1.3961997030691427,0.14494754130864418,5758
left,C3,mu_beta_8_30Hz,2.9036274521414343,0.4629408937572906,5758
left,C4,mu_beta_8_30Hz,2.275509466382997,0.3570786465615274,5758
right,C3,mu_8_13Hz,1.290619594467149,0.11079825437436029,5769
right,C4,mu_8_13Hz,1.0096902855376262,0.004188177832756517,5769
right,C3,beta_13_30Hz,1.4244384191701112,0.15364367871224419,5769
right,C4,beta_13_30Hz,1.1863512546879078,0.07421329390790848,5769
right,C3,mu_beta_8_30Hz,2.7770426384739033,0.44358254792158386,5769
right,C4,mu_beta_8_30Hz,2.2020377668979596,0.3428247632346102,5769
