subject,protocol,method,lambda_stability,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-010,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,383,97,0.4948453608247423,0.5,0.3310344827586207,0.0
sub-010,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,383,97,0.4948453608247423,0.5,0.3310344827586207,0.0
sub-011,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.52,0.52,0.4652406417112299,0.040000000000000036
sub-011,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.55,0.55,0.4590695997115038,0.09999999999999998
sub-011,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.52,0.52,0.37629937629937626,0.040000000000000036
sub-012,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.4939759036144578,0.4589243498817967,0.4340909090909091,-0.08665835411471323
sub-012,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.4939759036144578,0.46217494089834515,0.4434865900383142,-0.07925696594427256
sub-012,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.4819277108433735,0.4515366430260047,0.4346586408997307,-0.10120333230484424
sub-013,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.5,0.5,0.3333333333333333,0.0
sub-013,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.5,0.5,0.3333333333333333,0.0
sub-013,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.5,0.5,0.3333333333333333,0.0
sub-014,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.51,0.51,0.3551783129359126,0.020000000000000018
sub-014,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.42,0.42000000000000004,0.4162640901771336,-0.15999999999999992
sub-014,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.39,0.39,0.38252859601174205,-0.21999999999999997
sub-015,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5102040816326531,0.5,0.33783783783783783,0.0
