subject,method,lambda_stability,band,mean_score,session_std,weight
sub-003,FBCSP-equal,0.5,8-12Hz,0.4960581357048749,0.04872317719637858,1.0
sub-003,FBCSP-equal,0.5,12-16Hz,0.5019482872200264,0.040647488634019624,1.0
sub-003,FBCSP-equal,0.5,16-20Hz,0.4754331357048749,0.06992229842775938,1.0
sub-003,FBCSP-equal,0.5,20-24Hz,0.5148254281949934,0.09412366695059886,1.0
sub-003,FBCSP-equal,0.5,24-28Hz,0.5473443675889328,0.07680557840305802,1.0
sub-003,FBCSP-equal,0.5,28-32Hz,0.46552783267457176,0.027051605854538266,1.0
sub-003,FBCSP-equal,0.5,32-36Hz,0.4724398880105402,0.028419734251032065,1.0
sub-003,FBCSP-equal,0.5,36-40Hz,0.4749950592885376,0.07740333954462791,1.0
sub-003,FBCSP-discriminative-weighted,0.5,4-8Hz,0.49120965085639,0.046873081263533053,0.054649280279701784
sub-003,FBCSP-discriminative-weighted,0.5,8-12Hz,0.4960581357048749,0.04872317719637858,0.06669563513856513
sub-003,FBCSP-discriminative-weighted,0.5,12-16Hz,0.5019482872200264,0.040647488634019624,0.08495660492493579
sub-003,FBCSP-discriminative-weighted,0.5,16-20Hz,0.4754331357048749,0.06992229842775938,0.028581128087081895
sub-003,FBCSP-discriminative-weighted,0.5,20-24Hz,0.5148254281949934,0.09412366695059886,0.14420085257836326
sub-003,FBCSP-discriminative-weighted,0.5,24-28Hz,0.5473443675889328,0.07680557840305802,0.5485459261650807
sub-003,FBCSP-discriminative-weighted,0.5,28-32Hz,0.46552783267457176,0.027051605854538266,0.019025500058132964
sub-003,FBCSP-discriminative-weighted,0.5,32-36Hz,0.4724398880105402,0.028419734251032065,0.025273765521859736
sub-003,FBCSP-discriminative-weighted,0.5,36-40Hz,0.4749950592885376,0.07740333954462791,0.028071307246278827
sub-003,Stable-FBCSP,0.5,4-8Hz,0.49120965085639,0.046873081263533053,0.08453077580874686
sub-003,Stable-FBCSP,0.5,8-12Hz,0.4960581357048749,0.04872317719637858,0.09898538485994782
sub-003,Stable-FBCSP,0.5,12-16Hz,0.5019482872200264,0.040647488634019624,0.15102616528955032
sub-003,Stable-FBCSP,0.5,16-20Hz,0.4754331357048749,0.06992229842775938,0.026411778081227074
sub-003,Stable-FBCSP,0.5,20-24Hz,0.5148254281949934,0.09412366695059886,0.07758742951435553
sub-003,Stable-FBCSP,0.5,24-28Hz,0.5473443675889328,0.07680557840305802,0.43463352004126793
sub-003,Stable-FBCSP,0.5,28-32Hz,0.46552783267457176,0.027051605854538266,0.04583008485719156
sub-003,Stable-FBCSP,0.5,32-36Hz,0.4724398880105402,0.028419734251032065,0.05904806772957121
sub-003,Stable-FBCSP,0.5,36-40Hz,0.4749950592885376,0.07740333954462791,0.021946793818141744
sub-004,FBCSP-equal,0.5,4-8Hz,0.5268939393939394,0.018715801380222757,1.0
sub-004,FBCSP-equal,0.5,8-12Hz,0.5237878787878788,0.0204694810790939,1.0
sub-004,FBCSP-equal,0.5,12-16Hz,0.5301325757575758,0.04685409696162198,1.0
sub-004,FBCSP-equal,0.5,16-20Hz,0.5204734848484849,0.0148512264591716,1.0
sub-004,FBCSP-equal,0.5,20-24Hz,0.47960227272727274,0.06814231547157965,1.0
sub-004,FBCSP-equal,0.5,24-28Hz,0.5454734848484848,0.05525517790141804,1.0
sub-004,FBCSP-equal,0.5,28-32Hz,0.5260037878787879,0.03318326130631025,1.0
sub-004,FBCSP-equal,0.5,32-36Hz,0.5010037878787879,0.01662282240963486,1.0
sub-004,FBCSP-equal,0.5,36-40Hz,0.5335416666666668,0.05894497750973014,1.0
sub-004,FBCSP-discriminative-weighted,0.5,4-8Hz,0.5268939393939394,0.018715801380222757,0.1086025425349753
sub-004,FBCSP-discriminative-weighted,0.5,8-12Hz,0.5237878787878788,0.0204694810790939,0.09166588581442037
sub-004,FBCSP-discriminative-weighted,0.5,12-16Hz,0.5301325757575758,0.04685409696162198,0.12960300941373545
sub-004,FBCSP-discriminative-weighted,0.5,16-20Hz,0.5204734848484849,0.0148512264591716,0.07649564972580736
sub-004,FBCSP-discriminative-weighted,0.5,20-24Hz,0.47960227272727274,0.06814231547157965,0.00821758188133605
sub-004,FBCSP-discriminative-weighted,0.5,24-28Hz,0.5454734848484848,0.05525517790141804,0.29942398119898334
sub-004,FBCSP-discriminative-weighted,0.5,28-32Hz,0.5260037878787879,0.03318326130631025,0.10345180358454516
sub-004,FBCSP-discriminative-weighted,0.5,32-36Hz,0.5010037878787879,0.01662282240963486,0.026429455980171875
sub-004,FBCSP-discriminative-weighted,0.5,36-40Hz,0.5335416666666668,0.05894497750973014,0.15611008986602515
sub-004,Stable-FBCSP,0.5,4-8Hz,0.5268939393939394,0.018715801380222757,0.1757829532398582
sub-004,Stable-FBCSP,0.5,8-12Hz,0.5237878787878788,0.0204694810790939,0.14183391552853308
sub-004,Stable-FBCSP,0.5,12-16Hz,0.5301325757575758,0.04685409696162198,0.10182050434571072
sub-004,Stable-FBCSP,0.5,16-20Hz,0.5204734848484849,0.0148512264591716,0.13673745524378134
sub-004,Stable-FBCSP,0.5,20-24Hz,0.47960227272727274,0.06814231547157965,0.0037365298757554267
sub-004,Stable-FBCSP,0.5,24-28Hz,0.5454734848484848,0.05525517790141804,0.18957564991952014
sub-004,Stable-FBCSP,0.5,28-32Hz,0.5260037878787879,0.03318326130631025,0.11547098629604517
sub-004,Stable-FBCSP,0.5,32-36Hz,0.5010037878787879,0.01662282240963486,0.045141365374010825
sub-004,Stable-FBCSP,0.5,36-40Hz,0.5335416666666668,0.05894497750973014,0.08990064017678506
sub-005,FBCSP-equal,0.5,4-8Hz,0.6103260869565217,0.04147148677707302,1.0
sub-005,FBCSP-equal,0.5,8-12Hz,0.5496376811594202,0.06860949008558989,1.0
sub-005,FBCSP-equal,0.5,12-16Hz,0.5702989130434784,0.13393389375282852,1.0
sub-005,FBCSP-equal,0.5,16-20Hz,0.5878713768115942,0.12178734750525647,1.0
sub-005,FBCSP-equal,0.5,20-24Hz,0.5848097826086956,0.13049501270174413,1.0
sub-005,FBCSP-equal,0.5,24-28Hz,0.574393115942029,0.12623397791643923,1.0
sub-005,FBCSP-equal,0.5,28-32Hz,0.5728623188405797,0.1793936371004727,1.0
sub-005,FBCSP-equal,0.5,32-36Hz,0.5996014492753623,0.1590305306296176,1.0
sub-005,FBCSP-equal,0.5,36-40Hz,0.573088768115942,0.1816102531144942,1.0
sub-005,FBCSP-discriminative-weighted,0.5,4-8Hz,0.6103260869565217,0.04147148677707302,0.406334131691281
sub-005,FBCSP-discriminative-weighted,0.5,8-12Hz,0.5496376811594202,0.06860949008558989,0.010919100097866515
sub-005,FBCSP-discriminative-weighted,0.5,12-16Hz,0.5702989130434784,0.13393389375282852,0.03740476577299227
