subject,method,lambda_stability,band,mean_score,session_std,weight
sub-003,FBCSP-equal,1.0,8-12Hz,0.4960581357048749,0.04872317719637858,1.0
sub-003,FBCSP-equal,1.0,12-16Hz,0.5019482872200264,0.040647488634019624,1.0
sub-003,FBCSP-equal,1.0,16-20Hz,0.4754331357048749,0.06992229842775938,1.0
sub-003,FBCSP-equal,1.0,20-24Hz,0.5148254281949934,0.09412366695059886,1.0
sub-003,FBCSP-equal,1.0,24-28Hz,0.5473443675889328,0.07680557840305802,1.0
sub-003,FBCSP-equal,1.0,28-32Hz,0.46552783267457176,0.027051605854538266,1.0
sub-003,FBCSP-equal,1.0,32-36Hz,0.4724398880105402,0.028419734251032065,1.0
sub-003,FBCSP-equal,1.0,36-40Hz,0.4749950592885376,0.07740333954462791,1.0
sub-003,FBCSP-discriminative-weighted,1.0,4-8Hz,0.49120965085639,0.046873081263533053,0.054649280279701784
sub-003,FBCSP-discriminative-weighted,1.0,8-12Hz,0.4960581357048749,0.04872317719637858,0.06669563513856513
sub-003,FBCSP-discriminative-weighted,1.0,12-16Hz,0.5019482872200264,0.040647488634019624,0.08495660492493579
sub-003,FBCSP-discriminative-weighted,1.0,16-20Hz,0.4754331357048749,0.06992229842775938,0.028581128087081895
sub-003,FBCSP-discriminative-weighted,1.0,20-24Hz,0.5148254281949934,0.09412366695059886,0.14420085257836326
sub-003,FBCSP-discriminative-weighted,1.0,24-28Hz,0.5473443675889328,0.07680557840305802,0.5485459261650807
sub-003,FBCSP-discriminative-weighted,1.0,28-32Hz,0.46552783267457176,0.027051605854538266,0.019025500058132964
sub-003,FBCSP-discriminative-weighted,1.0,32-36Hz,0.4724398880105402,0.028419734251032065,0.025273765521859736
sub-003,FBCSP-discriminative-weighted,1.0,36-40Hz,0.4749950592885376,0.07740333954462791,0.028071307246278827
sub-003,Stable-FBCSP,1.0,4-8Hz,0.49120965085639,0.046873081263533053,0.10698191109036603
sub-003,Stable-FBCSP,1.0,8-12Hz,0.4960581357048749,0.04872317719637858,0.12020148359766798
sub-003,Stable-FBCSP,1.0,12-16Hz,0.5019482872200264,0.040647488634019624,0.2196707995794291
sub-003,Stable-FBCSP,1.0,16-20Hz,0.4754331357048749,0.06992229842775938,0.01997013503909661
sub-003,Stable-FBCSP,1.0,20-24Hz,0.5148254281949934,0.09412366695059886,0.03415702112335235
sub-003,Stable-FBCSP,1.0,24-28Hz,0.5473443675889328,0.07680557840305802,0.28177245053654326
sub-003,Stable-FBCSP,1.0,28-32Hz,0.46552783267457176,0.027051605854538266,0.09032965074574067
sub-003,Stable-FBCSP,1.0,32-36Hz,0.4724398880105402,0.028419734251032065,0.11287727531515428
sub-003,Stable-FBCSP,1.0,36-40Hz,0.4749950592885376,0.07740333954462791,0.014039272972649773
sub-004,FBCSP-equal,1.0,4-8Hz,0.5268939393939394,0.018715801380222757,1.0
sub-004,FBCSP-equal,1.0,8-12Hz,0.5237878787878788,0.0204694810790939,1.0
sub-004,FBCSP-equal,1.0,12-16Hz,0.5301325757575758,0.04685409696162198,1.0
sub-004,FBCSP-equal,1.0,16-20Hz,0.5204734848484849,0.0148512264591716,1.0
sub-004,FBCSP-equal,1.0,20-24Hz,0.47960227272727274,0.06814231547157965,1.0
sub-004,FBCSP-equal,1.0,24-28Hz,0.5454734848484848,0.05525517790141804,1.0
sub-004,FBCSP-equal,1.0,28-32Hz,0.5260037878787879,0.03318326130631025,1.0
sub-004,FBCSP-equal,1.0,32-36Hz,0.5010037878787879,0.01662282240963486,1.0
sub-004,FBCSP-equal,1.0,36-40Hz,0.5335416666666668,0.05894497750973014,1.0
sub-004,FBCSP-discriminative-weighted,1.0,4-8Hz,0.5268939393939394,0.018715801380222757,0.1086025425349753
sub-004,FBCSP-discriminative-weighted,1.0,8-12Hz,0.5237878787878788,0.0204694810790939,0.09166588581442037
sub-004,FBCSP-discriminative-weighted,1.0,12-16Hz,0.5301325757575758,0.04685409696162198,0.12960300941373545
sub-004,FBCSP-discriminative-weighted,1.0,16-20Hz,0.5204734848484849,0.0148512264591716,0.07649564972580736
sub-004,FBCSP-discriminative-weighted,1.0,20-24Hz,0.47960227272727274,0.06814231547157965,0.00821758188133605
sub-004,FBCSP-discriminative-weighted,1.0,24-28Hz,0.5454734848484848,0.05525517790141804,0.29942398119898334
sub-004,FBCSP-discriminative-weighted,1.0,28-32Hz,0.5260037878787879,0.03318326130631025,0.10345180358454516
sub-004,FBCSP-discriminative-weighted,1.0,32-36Hz,0.5010037878787879,0.01662282240963486,0.026429455980171875
sub-004,FBCSP-discriminative-weighted,1.0,36-40Hz,0.5335416666666668,0.05894497750973014,0.15611008986602515
sub-004,Stable-FBCSP,1.0,4-8Hz,0.5268939393939394,0.018715801380222757,0.23555376912410103
sub-004,Stable-FBCSP,1.0,8-12Hz,0.5237878787878788,0.0204694810790939,0.18168914561585472
sub-004,Stable-FBCSP,1.0,12-16Hz,0.5301325757575758,0.04685409696162198,0.0662265206728279
sub-004,Stable-FBCSP,1.0,16-20Hz,0.5204734848484849,0.0148512264591716,0.20235539433061442
sub-004,Stable-FBCSP,1.0,20-24Hz,0.47960227272727274,0.06814231547157965,0.0014065961211130649
sub-004,Stable-FBCSP,1.0,24-28Hz,0.5454734848484848,0.05525517790141804,0.09936994834935671
sub-004,Stable-FBCSP,1.0,28-32Hz,0.5260037878787879,0.03318326130631025,0.10670486523733706
sub-004,Stable-FBCSP,1.0,32-36Hz,0.5010037878787879,0.01662282240963486,0.06383188880251313
sub-004,Stable-FBCSP,1.0,36-40Hz,0.5335416666666668,0.05894497750973014,0.04286187174628195
sub-005,FBCSP-equal,1.0,4-8Hz,0.6103260869565217,0.04147148677707302,1.0
sub-005,FBCSP-equal,1.0,8-12Hz,0.5496376811594202,0.06860949008558989,1.0
