label,channel,band,baseline_power,mean_relative_percent,min_relative_percent,max_relative_percent,mean_relative_db,min_relative_db,max_relative_db,n_trials
left,C3,mu_beta_8_30Hz,3.0542483109013396,-4.931519753069986,-99.36482069324852,98.29286439181338,-0.2736892632425096,-21.971036590539295,2.9730708631312885,5758
left,C4,mu_beta_8_30Hz,2.2128421232183095,2.8319843746261903,-99.38647280342325,95.67364178473422,0.05624228141328928,-22.1216618100312,2.915323279655768,5758
right,C3,mu_beta_8_30Hz,2.6741415067187355,3.8480062291629378,-99.38718568483488,123.68871039585376,0.11112022079315617,-22.12671098263504,3.4964406573941282,5769
right,C4,mu_beta_8_30Hz,2.2975507232092314,-4.1571642073633965,-99.42134221115758,80.90218548254269,-0.25561977093318927,-22.375781968163793,2.5744381361092072,5769
