subject,protocol,method,alignment,seed,epochs_ran,best_epoch,best_val_balanced_accuracy,train_sessions,val_strategy,test_session,n_train,n_val,n_test,accuracy,balanced_accuracy,macro_f1,kappa,train_seconds
sub-001,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,12,2,0.55,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.4787234042553192,0.47644927536231885,0.4714859437751004,-0.04729422464756694,1.4400920867919922
sub-002,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,35,25,0.7302631578947368,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.7263157894736842,0.725377107364685,0.7255555555555555,0.45135495335406484,2.151240825653076
sub-003,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,22,12,0.5188933873144399,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.48,0.48,0.44821731748726656,-0.040000000000000036,1.3512630462646484
sub-004,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,14,4,0.6164529914529915,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.57,0.5700000000000001,0.5501621508525996,0.14,0.922173261642456
sub-005,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,17,7,0.6025641025641025,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.4943820224719101,0.4941860465116279,0.49412656309208036,-0.0116190957312452,1.084597110748291
sub-006,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,27,17,0.9604700854700854,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.5894736842105263,0.5907275953859805,0.5892916528101098,0.1808534158744196,1.4800524711608887
sub-007,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,11,1,0.5,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.56,0.56,0.5331069609507639,0.12,0.7360451221466064
sub-008,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,36,26,0.6447368421052632,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.52,0.52,0.5192307692307692,0.040000000000000036,2.0155327320098877
sub-009,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,25,15,0.6060897435897435,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.40404040404040403,0.4030612244897959,0.3978971240078343,-0.1942343079124924,1.5586979389190674
sub-010,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,17,7,0.6099865047233468,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.5979381443298969,0.598001700680272,0.5979381443298969,0.19596174282678003,1.0256729125976562
sub-011,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,25,15,0.5698717948717948,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.5,0.5,0.4967793880837359,0.0,1.355565071105957
sub-012,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,11,1,0.5857041251778095,"1,2,3,4",stratified_train_split_0.20,5,300,75,83,0.46987951807228917,0.4929078014184397,0.463572267920094,-0.013318534961154205,0.633833646774292
sub-013,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,47,37,0.7328947368421053,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.72,0.72,0.72,0.43999999999999995,2.669645309448242
sub-014,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,11,1,0.47886347886347885,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.53,0.53,0.5123975516132379,0.06000000000000005,0.586000919342041
sub-015,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,50,40,0.8376068376068376,"1,2,3,4",stratified_train_split_0.20,5,300,75,98,0.5714285714285714,0.5708333333333333,0.5707133917396746,0.1417848206839033,2.581800937652588
sub-016,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,50,41,0.6987179487179487,"1,2,3,4",stratified_train_split_0.20,5,316,79,91,0.6263736263736264,0.633220502901354,0.612862862862863,0.26263107721639667,2.8790018558502197
sub-017,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,12,2,0.5125,"1,2,3,4",stratified_train_split_0.20,5,318,80,95,0.49473684210526314,0.4966755319148936,0.478021978021978,-0.0066225165562912025,0.6813373565673828
sub-018,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,22,12,0.6211538461538462,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.57,0.5700000000000001,0.5699569956995699,0.14,1.240990161895752
sub-019,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,21,11,0.6029106029106028,"1,2,3,4",stratified_train_split_0.20,5,300,76,93,0.7204301075268817,0.7207792207792207,0.7201388888888889,0.4405367885238316,1.1657311916351318
sub-020,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,18,8,0.8333333333333333,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.86,0.86,0.859775641025641,0.72,0.9965934753417969
sub-021,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,30,20,0.8846153846153846,"1,2,3,4",stratified_train_split_0.20,5,308,78,96,0.78125,0.7822405557967869,0.7810361681329423,0.5632582322357019,1.6931352615356445
sub-022,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,50,50,0.7692307692307692,"1,2,3,4",stratified_train_split_0.20,5,309,78,93,0.5913978494623656,0.5902777777777778,0.5902133580705009,0.18080667593880395,2.8427975177764893
sub-023,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,20,10,0.7564102564102564,"1,2,3,4",stratified_train_split_0.20,5,311,78,97,0.6288659793814433,0.629251700680272,0.6285106382978723,0.2582837723024639,1.1085143089294434
sub-024,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,26,16,0.5735294117647058,"1,2,3,4",stratified_train_split_0.20,5,269,68,100,0.53,0.53,0.52995299529953,0.06000000000000005,1.4149446487426758
sub-025,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,42,22,12,0.5615615615615616,"1,2,3,4",stratified_train_split_0.20,5,289,73,100,0.49,0.49,0.483753416337686,-0.020000000000000018,1.3227331638336182
