subject,seed,epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_kappa,best_epoch,best_val_balanced_accuracy
sub-001,42,1,0.7091321349143982,0.7044336199760437,0.5125,0.5125,0.5124238162212846,0.025000000000000022,1,0.5125
sub-001,42,2,0.7028282642364502,0.7010922729969025,0.55,0.55,0.55,0.09999999999999998,2,0.55
sub-001,42,3,0.668760085105896,0.6968671083450317,0.525,0.5249999999999999,0.5238095238095238,0.050000000000000044,2,0.55
sub-001,42,4,0.6399123907089234,0.7012955844402313,0.5,0.5,0.4987468671679198,0.0,2,0.55
sub-001,42,5,0.6406788110733033,0.7055088579654694,0.4875,0.48750000000000004,0.48677828195900485,-0.02499999999999991,2,0.55
sub-001,42,6,0.6412313342094421,0.7101888358592987,0.4875,0.4875,0.4874199093608376,-0.02499999999999991,2,0.55
sub-001,42,7,0.6337162971496582,0.7199705541133881,0.4625,0.4625,0.4617430762009075,-0.07499999999999996,2,0.55
sub-001,42,8,0.5890802860260009,0.7273037135601044,0.4625,0.4625,0.4617430762009075,-0.07499999999999996,2,0.55
sub-001,42,9,0.585311233997345,0.7424538731575012,0.475,0.475,0.474671669793621,-0.050000000000000044,2,0.55
sub-001,42,10,0.5700662732124329,0.7560940682888031,0.4875,0.4875,0.4874199093608376,-0.02499999999999991,2,0.55
sub-001,42,11,0.5902408599853516,0.7655995786190033,0.4875,0.48750000000000004,0.48677828195900485,-0.02499999999999991,2,0.55
sub-001,42,12,0.5796751260757447,0.7755991816520691,0.4625,0.4625,0.46241600250039067,-0.07499999999999996,2,0.55
sub-002,42,1,0.7529059886932373,0.6920121014118195,0.48717948717948717,0.4809210526315789,0.4510907811400422,-0.038615179760319585,1,0.4809210526315789
sub-002,42,2,0.6889535427093506,0.6933335661888123,0.47435897435897434,0.4769736842105263,0.47009113504556754,-0.0457815565729236,1,0.4809210526315789
sub-002,42,3,0.6765771746635437,0.6944504976272583,0.46153846153846156,0.46381578947368424,0.45833333333333337,-0.07198952879581144,1,0.4809210526315789
sub-002,42,4,0.6634073972702026,0.6929432153701782,0.5512820512820513,0.5513157894736842,0.5512082853855005,0.10256410256410253,4,0.5513157894736842
sub-002,42,5,0.661725664138794,0.6903115808963776,0.5769230769230769,0.5736842105263158,0.5683380848566157,0.14824619457313037,5,0.5736842105263158
sub-002,42,6,0.6404950737953186,0.6876645088195801,0.5512820512820513,0.5480263157894737,0.5421767566661077,0.09662475181998675,5,0.5736842105263158
sub-002,42,7,0.6299604415893555,0.6889485418796539,0.5256410256410257,0.5217105263157895,0.512087912087912,0.0437375745526839,5,0.5736842105263158
sub-002,42,8,0.6244380712509155,0.6918832659721375,0.5128205128205128,0.5085526315789474,0.49660326086956524,0.01724137931034475,5,0.5736842105263158
sub-002,42,9,0.5999750614166259,0.6948257982730865,0.5384615384615384,0.5342105263157895,0.5230978260869565,0.06896551724137923,5,0.5736842105263158
sub-002,42,10,0.5906723260879516,0.6913233697414398,0.5769230769230769,0.5736842105263158,0.5683380848566157,0.14824619457313037,5,0.5736842105263158
sub-002,42,11,0.569939661026001,0.6849325895309448,0.5641025641025641,0.5611842105263158,0.5568181818181819,0.12301587301587291,5,0.5736842105263158
sub-002,42,12,0.5575902938842774,0.6770781576633453,0.5769230769230769,0.5736842105263158,0.5683380848566157,0.14824619457313037,5,0.5736842105263158
sub-002,42,13,0.5572073101997376,0.6757142841815948,0.5897435897435898,0.5868421052631578,0.5828877005347594,0.17460317460317454,13,0.5868421052631578
sub-002,42,14,0.5591594815254212,0.6651652753353119,0.6282051282051282,0.6256578947368421,0.6231884057971014,0.25247851949768674,14,0.6256578947368421
sub-002,42,15,0.5291850686073303,0.653876930475235,0.6153846153846154,0.6125,0.6089572192513368,0.22619047619047616,14,0.6256578947368421
sub-002,42,16,0.503302025794983,0.6472871005535126,0.6666666666666666,0.6644736842105263,0.6631229235880398,0.33025099075297226,16,0.6644736842105263
sub-002,42,17,0.48788286447525026,0.6516902148723602,0.6794871794871795,0.6782894736842104,0.678164713649117,0.3572841133816743,17,0.6782894736842104
sub-002,42,18,0.49243860244750975,0.6595142781734467,0.6794871794871795,0.6782894736842104,0.678164713649117,0.3572841133816743,17,0.6782894736842104
sub-002,42,19,0.4505593955516815,0.6575442552566528,0.6794871794871795,0.6782894736842104,0.678164713649117,0.3572841133816743,17,0.6782894736842104
sub-002,42,20,0.4546163737773895,0.6472774147987366,0.6794871794871795,0.6782894736842104,0.678164713649117,0.3572841133816743,17,0.6782894736842104
sub-002,42,21,0.4617422819137573,0.6288363635540009,0.717948717948718,0.7171052631578947,0.7172050098879368,0.4347826086956521,21,0.7171052631578947
sub-002,42,22,0.4538679182529449,0.626457929611206,0.7051282051282052,0.7046052631578947,0.7046913580246914,0.40947992100065833,21,0.7171052631578947
sub-002,42,23,0.43206213116645814,0.6318626403808594,0.7051282051282052,0.7046052631578947,0.7046913580246914,0.40947992100065833,21,0.7171052631578947
sub-002,42,24,0.43706278800964354,0.637130469083786,0.6794871794871795,0.6782894736842104,0.678164713649117,0.3572841133816743,21,0.7171052631578947
sub-002,42,25,0.4051442384719849,0.628287136554718,0.7307692307692307,0.7302631578947368,0.7303703703703703,0.4608294930875576,25,0.7302631578947368
sub-002,42,26,0.428625625371933,0.6252066493034363,0.7307692307692307,0.7302631578947368,0.7303703703703703,0.4608294930875576,25,0.7302631578947368
sub-002,42,27,0.40978109240531924,0.6233381032943726,0.717948717948718,0.7184210526315788,0.717948717948718,0.4362680683311433,25,0.7302631578947368
sub-002,42,28,0.4224561333656311,0.6287887990474701,0.6923076923076923,0.6927631578947369,0.6923076923076923,0.38501971090670173,25,0.7302631578947368
sub-002,42,29,0.39399906396865847,0.644931823015213,0.6538461538461539,0.6539473684210526,0.6537892487259576,0.3076923076923077,25,0.7302631578947368
sub-002,42,30,0.3579153954982758,0.6449310779571533,0.6666666666666666,0.6664473684210527,0.6664473684210527,0.33289473684210524,25,0.7302631578947368
sub-002,42,31,0.3748025894165039,0.6440677344799042,0.6794871794871795,0.6796052631578948,0.6794344895610718,0.3589743589743589,25,0.7302631578947368
sub-002,42,32,0.3716382563114166,0.6369322538375854,0.6794871794871795,0.6796052631578948,0.6794344895610718,0.3589743589743589,25,0.7302631578947368
sub-002,42,33,0.3549278020858765,0.6365809142589569,0.6538461538461539,0.6532894736842105,0.6533333333333333,0.3067807768268598,25,0.7302631578947368
sub-002,42,34,0.3569256246089935,0.6351162493228912,0.6538461538461539,0.6532894736842105,0.6533333333333333,0.3067807768268598,25,0.7302631578947368
sub-002,42,35,0.3638071775436401,0.6343636810779572,0.6538461538461539,0.6532894736842105,0.6533333333333333,0.3067807768268598,25,0.7302631578947368
sub-003,42,1,0.7132315397262573,0.7072420120239258,0.4675324675324675,0.4682860998650472,0.4660916624386944,-0.06332098349612658,1,0.4682860998650472
sub-003,42,2,0.7112077474594116,0.7222642600536346,0.42857142857142855,0.42813765182186236,0.4277027027027027,-0.1438217420661716,1,0.4682860998650472
sub-003,42,3,0.6776371002197266,0.7429238259792328,0.4155844155844156,0.4156545209176788,0.4155844155844156,-0.16863406408094428,1,0.4682860998650472
sub-003,42,4,0.6591716766357422,0.754316508769989,0.42857142857142855,0.4288124156545209,0.4284750337381916,-0.14227916385704664,1,0.4682860998650472
sub-003,42,5,0.6288963556289673,0.7673165798187256,0.45454545454545453,0.4551282051282051,0.4537162162162162,-0.08962264150943389,1,0.4682860998650472
sub-003,42,6,0.6180691003799439,0.78834667801857,0.45454545454545453,0.4551282051282051,0.4537162162162162,-0.08962264150943389,1,0.4682860998650472
sub-003,42,7,0.6334451556205749,0.8062318563461304,0.42857142857142855,0.4291497975708502,0.4277027027027027,-0.141509433962264,1,0.4682860998650472
sub-003,42,8,0.5913655877113342,0.8392213881015778,0.42857142857142855,0.4291497975708502,0.4277027027027027,-0.141509433962264,1,0.4682860998650472
sub-003,42,9,0.6064515948295593,0.8406688272953033,0.4155844155844156,0.4159919028340081,0.4151898734177215,-0.1678463094034377,1,0.4682860998650472
sub-003,42,10,0.5859114289283752,0.8496149182319641,0.44155844155844154,0.44163292847503377,0.44155844155844154,-0.11669477234401349,1,0.4682860998650472
sub-003,42,11,0.597787868976593,0.8497650027275085,0.4935064935064935,0.49325236167341424,0.4931645569620253,-0.013499831252109296,11,0.49325236167341424
sub-003,42,12,0.5983473658561707,0.8297597765922546,0.5194805194805194,0.5188933873144399,0.5181802807373583,0.03782505910165479,12,0.5188933873144399
sub-003,42,13,0.5510419011116028,0.8320157527923584,0.4935064935064935,0.4939271255060729,0.4931645569620253,-0.01213346814964611,12,0.5188933873144399
sub-003,42,14,0.5541349530220032,0.8303019106388092,0.4805194805194805,0.4807692307692308,0.48043184885290147,-0.03843560350640596,12,0.5188933873144399
sub-003,42,15,0.5502188920974731,0.8230930268764496,0.4675324675324675,0.46794871794871795,0.4671729957805907,-0.06403774856757649,12,0.5188933873144399
sub-003,42,16,0.519736111164093,0.8539579808712006,0.4675324675324675,0.46794871794871795,0.4671729957805907,-0.06403774856757649,12,0.5188933873144399
sub-003,42,17,0.5272262811660766,0.8878484070301056,0.4805194805194805,0.48043184885290147,0.48043184885290147,-0.03913630229419707,12,0.5188933873144399
sub-003,42,18,0.5298560380935669,0.8842063844203949,0.4805194805194805,0.48043184885290147,0.48043184885290147,-0.03913630229419707,12,0.5188933873144399
sub-003,42,19,0.48867830634117126,0.8590832054615021,0.45454545454545453,0.4551282051282051,0.4537162162162162,-0.08962264150943389,12,0.5188933873144399
sub-003,42,20,0.48824893236160277,0.8313142955303192,0.44155844155844154,0.44197031039136303,0.44118143459915615,-0.1159420289855071,12,0.5188933873144399
sub-003,42,21,0.45910406708717344,0.810263454914093,0.4155844155844156,0.41632928475033737,0.4140030441400304,-0.1670596160323341,12,0.5188933873144399
sub-003,42,22,0.47113574743270875,0.8026458621025085,0.42857142857142855,0.4291497975708502,0.4277027027027027,-0.141509433962264,12,0.5188933873144399
sub-004,42,1,0.7271600246429444,0.7038505375385284,0.52,0.5352564102564102,0.4485294117647059,0.06832298136645965,1,0.5352564102564102
sub-004,42,2,0.687907087802887,0.7227070033550262,0.5866666666666667,0.5950854700854701,0.5717443359734757,0.1867785939139559,2,0.5950854700854701
sub-004,42,3,0.6678245186805725,0.7481339871883392,0.5866666666666667,0.594017094017094,0.5758073344280241,0.18506834910620396,2,0.5950854700854701
sub-004,42,4,0.6649638295173645,0.7725664973258972,0.6133333333333333,0.6164529914529915,0.6122303440898555,0.2311770943796394,4,0.6164529914529915
sub-004,42,5,0.6571891903877258,0.779979407787323,0.5733333333333334,0.5769230769230769,0.5714285714285714,0.15254237288135586,4,0.6164529914529915
sub-004,42,6,0.6491970300674439,0.7735975384712219,0.6,0.6014957264957265,0.5999288762446657,0.2021276595744681,4,0.6164529914529915
sub-004,42,7,0.6185881614685058,0.7650871276855469,0.6,0.6004273504273505,0.5999288762446657,0.20042643923240944,4,0.6164529914529915
sub-004,42,8,0.6009345889091492,0.7563846111297607,0.5733333333333334,0.5726495726495726,0.5726495726495726,0.14529914529914523,4,0.6164529914529915
sub-004,42,9,0.6189394950866699,0.7598376870155334,0.56,0.5587606837606838,0.558744874309146,0.11764705882352933,4,0.6164529914529915
sub-004,42,10,0.600831151008606,0.7593281865119934,0.6,0.6004273504273505,0.5999288762446657,0.20042643923240944,4,0.6164529914529915
sub-004,42,11,0.5886957883834839,0.7577297389507294,0.5866666666666667,0.5886752136752136,0.5863725315780111,0.17640807651434642,4,0.6164529914529915
sub-004,42,12,0.5921784162521362,0.7537782788276672,0.5866666666666667,0.5897435897435896,0.5854876091995008,0.17815482502651114,4,0.6164529914529915
sub-004,42,13,0.5670977115631104,0.7358312010765076,0.56,0.563034188034188,0.558744874309146,0.12513255567338277,4,0.6164529914529915
sub-004,42,14,0.559723961353302,0.7331559956073761,0.5466666666666666,0.5480769230769231,0.5465860597439545,0.09574468085106391,4,0.6164529914529915
sub-005,42,1,0.7136473417282104,0.6860189735889435,0.5,0.5,0.4427550833485986,0.0,1,0.5
sub-005,42,2,0.7052278757095337,0.6848890781402588,0.5256410256410257,0.5256410256410257,0.46106442577030815,0.05128205128205132,2,0.5256410256410257
sub-005,42,3,0.6914861917495727,0.6858278214931488,0.5,0.5,0.4523852385238524,0.0,2,0.5256410256410257
sub-005,42,4,0.6415957570075989,0.6866340339183807,0.5256410256410257,0.5256410256410257,0.4957190284815656,0.05128205128205132,2,0.5256410256410257
sub-005,42,5,0.670421028137207,0.6874955892562866,0.5769230769230769,0.5769230769230769,0.5502358902673423,0.15384615384615385,5,0.5769230769230769
sub-005,42,6,0.6534881830215454,0.6869784891605377,0.5769230769230769,0.5769230769230769,0.5502358902673423,0.15384615384615385,5,0.5769230769230769
sub-005,42,7,0.6497167825698853,0.6891353726387024,0.6025641025641025,0.6025641025641025,0.5827437446074202,0.20512820512820518,7,0.6025641025641025
sub-005,42,8,0.6007561564445496,0.6921168267726898,0.5769230769230769,0.576923076923077,0.5606758832565284,0.15384615384615385,7,0.6025641025641025
sub-005,42,9,0.6194815278053284,0.6908332705497742,0.5641025641025641,0.5641025641025641,0.544955387783116,0.1282051282051282,7,0.6025641025641025
sub-005,42,10,0.5790979743003846,0.6912122368812561,0.5769230769230769,0.576923076923077,0.5606758832565284,0.15384615384615385,7,0.6025641025641025
